Dataset,Method,Embedding,Freeze,Train Time per Epoch (s),Accuracy on Val,Accuracy on Test,Best Induced Test
rotten_tomatoes,CNN,Random,True,1.78,0.6782,0.6857,0.6792
rotten_tomatoes,CNN,Random,False,1.57,0.7223,0.7495,0.7477
rotten_tomatoes,LSTM,Random,True,4.68,0.6951,0.7139,0.7036
rotten_tomatoes,LSTM,Random,False,4.74,0.7458,0.7664,0.7664
rotten_tomatoes,CNN,GloVe,True,1.21,0.7946,0.7749,0.7749
rotten_tomatoes,CNN,GloVe,False,1.32,0.7889,0.7899,0.7899
rotten_tomatoes,LSTM,GloVe,True,4.61,0.7711,0.772,0.7636
rotten_tomatoes,LSTM,GloVe,False,4.68,0.7936,0.8105,0.8049
rotten_tomatoes,CNN,Random,True,3.35,0.6811,0.6979,0.6961
rotten_tomatoes,CNN,Random,False,3.04,0.7298,0.7589,0.743
rotten_tomatoes,LSTM,Random,True,6.43,0.7148,0.7073,0.7073
rotten_tomatoes,LSTM,Random,False,6.47,0.7439,0.7627,0.7627
rotten_tomatoes,CNN,GloVe,True,2.13,0.7814,0.7861,0.773
rotten_tomatoes,CNN,GloVe,False,2.41,0.7946,0.7842,0.7786
rotten_tomatoes,LSTM,GloVe,True,6.21,0.7749,0.7852,0.7767
rotten_tomatoes,LSTM,GloVe,False,6.38,0.7917,0.8133,0.7974
rotten_tomatoes,CNN,Random,True,2.67,0.6848,0.7101,0.7008
rotten_tomatoes,CNN,Random,False,3.01,0.728,0.7308,0.7308
rotten_tomatoes,LSTM,Random,True,5.81,0.6961,0.7186,0.6979
rotten_tomatoes,LSTM,Random,False,6.03,0.743,0.772,0.772
rotten_tomatoes,CNN,GloVe,True,2.11,0.7795,0.7861,0.7749
rotten_tomatoes,CNN,GloVe,False,2.4,0.7899,0.7946,0.7889
rotten_tomatoes,LSTM,GloVe,True,5.78,0.7758,0.7861,0.7861
rotten_tomatoes,LSTM,GloVe,False,5.93,0.7927,0.8124,0.8124
rotten_tomatoes,CNN,Word2Vec,True,2.5,0.7955,0.7974,0.7758
rotten_tomatoes,CNN,Word2Vec,False,2.95,0.7964,0.7974,0.7974
rotten_tomatoes,LSTM,Word2Vec,True,5.83,0.7758,0.7777,0.7777
rotten_tomatoes,LSTM,Word2Vec,False,6.06,0.7842,0.8124,0.7955
imdb,CNN,Random,True,11.82,0.8282,0.8305,0.8305
rotten_tomatoes,CNN,Random,True,5.53,0.6886,0.7017,0.6801
rotten_tomatoes,CNN,Random,False,3.44,0.7383,0.7448,0.7448
rotten_tomatoes,LSTM,Random,True,6.78,0.7017,0.7205,0.7167
rotten_tomatoes,LSTM,Random,False,6.65,0.7392,0.7664,0.7664
rotten_tomatoes,CNN,GloVe,True,2.29,0.773,0.7852,0.7664
rotten_tomatoes,CNN,GloVe,False,2.47,0.788,0.7889,0.7842
rotten_tomatoes,LSTM,GloVe,True,6.39,0.7899,0.7786,0.7627
rotten_tomatoes,LSTM,GloVe,False,6.54,0.7983,0.7946,0.7936
rotten_tomatoes,CNN,Word2Vec,True,2.58,0.7917,0.7946,0.7786
rotten_tomatoes,CNN,Word2Vec,False,3.03,0.7964,0.7936,0.7927
rotten_tomatoes,LSTM,Word2Vec,True,6.42,0.7852,0.7852,0.7758
rotten_tomatoes,CNN,Random,True,1.64,0.6811,0.7101,0.7101
rotten_tomatoes,CNN,Random,False,1.72,0.7392,0.7402,0.7402
rotten_tomatoes,LSTM,Random,True,5.03,0.7158,0.7336,0.7336
rotten_tomatoes,LSTM,Random,False,5.14,0.7364,0.7514,0.7514
rotten_tomatoes,CNN,GloVe,True,1.42,0.7786,0.7767,0.7589
rotten_tomatoes,CNN,GloVe,False,1.5,0.7777,0.7955,0.7955
rotten_tomatoes,LSTM,GloVe,True,4.98,0.7767,0.7852,0.7824
rotten_tomatoes,LSTM,GloVe,False,5.03,0.788,0.803,0.803
rotten_tomatoes,CNN,Word2Vec,True,1.45,0.7946,0.8039,0.8039
rotten_tomatoes,CNN,Word2Vec,False,1.66,0.7908,0.7871,0.7871
rotten_tomatoes,LSTM,Word2Vec,True,4.96,0.7908,0.7852,0.7702
rotten_tomatoes,LSTM,Word2Vec,False,5.08,0.7702,0.7955,0.7955
imdb,CNN,Random,True,7.03,0.8226,0.82,0.8188
imdb,CNN,Random,False,8.96,0.8476,0.8389,0.8389
imdb,LSTM,Random,True,18.86,0.8606,0.8522,0.8522
imdb,LSTM,Random,False,20.65,0.8576,0.8364,0.8364
imdb,CNN,GloVe,True,6.73,0.8588,0.8497,0.8497
imdb,CNN,GloVe,False,7.36,0.8736,0.8556,0.8556
imdb,LSTM,GloVe,True,18.66,0.8366,0.8327,0.8327
imdb,LSTM,GloVe,False,19.4,0.8738,0.8269,0.8149
imdb,CNN,Word2Vec,True,6.91,0.8818,0.8768,0.8768
imdb,CNN,Word2Vec,False,8.87,0.876,0.8617,0.8551
imdb,LSTM,Word2Vec,True,18.79,0.8626,0.8579,0.8579
imdb,LSTM,Word2Vec,False,20.52,0.8834,0.8532,0.8532
